Student Name,Age,Gender,Course,Attendance,Assignment Score,Midterm Score,Final Score
Ali,23,Male,Cyber Security,97,89,90,76
Sara,23,Male,Data Science,83,63,77,58
Ahmed,21,Male,AI,98,86,100,93
Fatima,23,Female,Data Science,88,71,67,87
Usman,18,Female,AI,76,80,65,51
Ayesha,18,Male,Software Engineering,64,82,96,71
Hamza,21,Female,AI,91,61,62,60
Noor,22,Male,AI,78,79,55,99
Bilal,22,Male,Data Science,83,77,92,86
Zainab,22,Male,Cyber Security,92,87,79,83
Hassan,20,Male,Data Science,62,97,51,72
Hira,21,Female,AI,77,73,90,61
Danish,20,Female,Data Science,85,98,72,77
Iqra,18,Female,Data Science,83,66,67,50
Omar,21,Male,AI,100,67,89,93
Maham,20,Male,Software Engineering,95,71,65,69
Talha,20,Male,Data Science,66,55,67,91
Anum,18,Female,Cyber Security,78,75,56,54
Saad,22,Female,Software Engineering,96,91,54,54
Maryam,19,Male,AI,63,82,98,98
Asad,21,Female,Software Engineering,99,52,74,74
Komal,22,Female,Software Engineering,60,73,77,51
Noman,20,Male,AI,70,75,67,97
Eman,20,Male,AI,66,82,60,91
Farhan,19,Male,Data Science,83,82,72,85
Laiba,18,Female,Cyber Security,61,52,77,80
Shayan,20,Male,Software Engineering,96,96,96,58
Amna,18,Male,Cyber Security,99,52,52,58
Raza,22,Male,AI,67,58,63,62
Sana,19,Male,AI,68,80,65,56
